author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
ФСК;https://www.cian.ru/sale/flat/288422843/;Москва;sale;flat;-1;-1;5;202;140507500;Хорошево-Мневники;;Хорошёво;Сидней Сити ЖК
Времена года;https://www.cian.ru/sale/flat/286912571/;Москва;sale;flat;8;14;5;153.8;109000000;Замоскворечье;Мытная;Добрынинская;Английский квартал
Донстрой;https://www.cian.ru/sale/flat/286396372/;Москва;sale;flat;7;12;5;198.6;172881300;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
Vesco Realty;https://www.cian.ru/sale/flat/278927119/;Москва;sale;flat;9;10;5;289;243000000;Замоскворечье;Большая Татарская;Новокузнецкая;Четыре солнца
Донстрой;https://www.cian.ru/sale/flat/288195956/;Москва;sale;flat;8;12;5;190.6;180326660;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/288345578/;Москва;sale;flat;9;15;5;202;185500000;Хамовники;Усачева;Спортивная;Садовые кварталы
Capital Group;https://www.cian.ru/sale/flat/287996177/;Москва;sale;flat;11;18;5;221;190612500;Дорогомилово;;Киевская;Бадаевский ЖК
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/237135033/;Москва;sale;flat;7;12;5;320;310000000;Тверской;Старопименовский переулок;Маяковская;
Capital Group;https://www.cian.ru/sale/flat/283760056/;Москва;sale;flat;12;18;5;236.7;249990137;Дорогомилово;;Киевская;Бадаевский ЖК
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/285696426/;Москва;sale;flat;18;18;5;206.5;145000000;Дорогомилово;Дохтуровский переулок;Студенческая;Кутузовский
Capital Group;https://www.cian.ru/sale/flat/283760039/;Москва;sale;flat;11;18;5;250.4;260551090;Дорогомилово;;Киевская;Бадаевский ЖК
Кирилл Борисков;https://www.cian.ru/sale/flat/287478066/;Москва;sale;flat;19;20;5;203;194900000;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky
Сбербанк Капитал;https://www.cian.ru/sale/flat/288177377/;Москва;sale;flat;5;7;5;280.5;473841161;Якиманка;Софийская набережная;;Царев сад
Bespoke Estate;https://www.cian.ru/sale/flat/281684306/;Москва;sale;flat;16;17;5;187.2;110000000;Даниловский;проспект Лихачева;Технопарк;Квартал на набережной NOW
Capital Group;https://www.cian.ru/sale/flat/286955478/;Москва;sale;flat;2;6;5;284.5;536567000;Якиманка;Софийская набережная;Александровский сад;Золотой
PEOPLE;https://www.cian.ru/sale/flat/287619198/;Москва;sale;flat;6;13;5;300;280000000;Тверской;Фадеева;Новослободская;Итальянский Квартал
Sminex-Интеко;https://www.cian.ru/sale/flat/281914894/;Москва;sale;flat;5;5;5;199.98;861310000;Тверской;;Площадь Революции;Ильинка 3/8 ЖК
GRAND ESTATE - Премиальная недвижимость;https://www.cian.ru/sale/flat/284501010/;Москва;sale;flat;2;5;5;140;96990000;Пресненский;Большая Садовая;Маяковская;
Тауэрс;https://www.cian.ru/sale/flat/286914246/;Москва;sale;flat;66;66;5;588.1;970365000;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
Ramenky Realty;https://www.cian.ru/sale/flat/273123264/;Москва;sale;flat;6;12;5;170.1;228900000;Раменки;Мосфильмовская;Минская;Вишневый сад
