author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
РГ-Девелопмент;https://www.cian.ru/sale/flat/286729250/;Москва;sale;flat;9;30;-1;27.6;6265200;Чертаново Южное;;Аннино;Варшавские Ворота ЖК
Владис;https://www.cian.ru/sale/flat/287131333/;Москва;sale;flat;28;33;1;21.6;10600000;Кунцево;Академика Павлова;Молодёжная;
ПИК;https://www.cian.ru/sale/flat/284814267/;Москва;sale;flat;31;33;1;19.9;6310734;Царицыно;Кавказский бульвар;Кантемировская;Кавказский бульвар 51
Самолет Плюс Москва;https://www.cian.ru/sale/flat/285694641/;Москва;sale;flat;23;25;1;19.7;5500000;Люблино;;;Люблинский парк ЖК
ПИК;https://www.cian.ru/sale/flat/276091175/;Москва;sale;flat;21;33;1;19.9;6302506;Метрогородок;к1/2;Бульвар Рокоссовского;Открытый Парк ЖК
Homeapp;https://www.cian.ru/sale/flat/287903445/;Москва;sale;flat;23;30;-1;34.3;15299000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Level Group;https://www.cian.ru/sale/flat/286511174/;Москва;sale;flat;-1;-1;-1;202;6309735;Западное Дегунино;Северный ао;Селигерская;Левел Селигерская ЖК
ZIP Realty;https://www.cian.ru/sale/flat/284353321/;Москва;sale;flat;2;2;-1;20.9;5300000;Марьино;Перерва;Перерва;
ПИК;https://www.cian.ru/sale/flat/286097375/;Москва;sale;flat;26;33;1;23.8;6395620;Очаково-Матвеевское;к1.1;Давыдково;Новое Очаково ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/287976311/;Москва;sale;flat;4;5;1;14.1;6436000;Богородское;Ивантеевская;Бульвар Рокоссовского;
ПИК;https://www.cian.ru/sale/flat/285823319/;Москва;sale;flat;6;33;1;23.63;6445156;Чертаново Южное;;Красный Строитель;Ютаново ЖК
Bespoke Estate;https://www.cian.ru/sale/flat/277907295/;Москва;sale;flat;18;24;1;139;77000000;Тверской;2-й Щемиловский переулок;Новослободская;Махаон
ПИК;https://www.cian.ru/sale/flat/286291546/;Москва;sale;flat;13;32;1;20.4;6493209;Северное Медведково;к1.1;Медведково;Полар ЖК
ZIP Realty;https://www.cian.ru/sale/flat/287957314/;Москва;sale;flat;6;8;-1;24.4;7908435;Преображенское;Электрозаводская;Электрозаводская;
ПИК;https://www.cian.ru/sale/flat/270788756/;Москва;sale;flat;9;17;1;21.5;6449253;;;Бунинская аллея;
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/286223355/;Москва;sale;flat;1;1;-1;18.4;8471617;Даниловский;2-я Рощинская;Тульская;
ПИК;https://www.cian.ru/sale/flat/282440097/;Москва;sale;flat;2;33;1;23.74;6475158;Чертаново Южное;;Красный Строитель;Ютаново ЖК
Homeapp;https://www.cian.ru/sale/flat/287111818/;Москва;sale;flat;15;23;1;32;11100000;Дмитровский;Дмитровское шоссе;Селигерская;Летний сад
ПИК;https://www.cian.ru/sale/flat/275815232/;Москва;sale;flat;33;33;1;20.2;6460382;Очаково-Матвеевское;к1.5;Давыдково;Новое Очаково ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/287779203/;Москва;sale;flat;2;3;1;13.7;3690000;Нижегородский;шоссе Фрезер;Нижегородская;
